CatchmentID,Area,StreamID
1,117621.62,1
2,218008.22,2
4,158029.11,4
5,144369.51,5
3,198287.64,3
6,19302.23,6
7,875.58,7
9,136283.16,9
10,306619.51,10
13,111618.36,13
11,134.99,11
16,100.00,17
17,415673.35,17
20,422200.43,20
17,415673.35,17
15,28586.47,15
14,21989.44,14
19,68.47,19
18,98072.13,18
20,422200.43,20
8,223470.61,8
19,68.47,19
12,44768.51,12
21,213751.18,21
23,41232.69,23
22,6039.26,22
24,314248.21,24
25,184420.33,25
26,147307.67,26
31,274914.20,31
27,51280.07,27
28,189153.17,28
29,200.00,29
30,101665.45,30
31,274914.20,31
33,100.00,33
32,45098.55,32
34,300.00,34
35,202247.00,35
36,896810.29,36
37,31093.40,37
38,378318.54,38
39,100.00,39
42,100.00,42
41,120547.33,41
43,48158.07,43
40,146320.38,40
44,242411.32,44
45,158256.43,45
47,257584.60,47
46,687962.44,46
