OBJECTID,Id,gridcode,Shape_Length,Shape_Area
1,1,2,2303.527388806086037,117621.618306059812312
2,2,1,2184.823690626288681,218008.217427300143754
3,3,5,1989.681620013967859,198287.644651192909805
4,4,4,2334.942669772015961,158029.114002325659385
5,5,3,1917.034390472651694,144369.510105487192050
6,6,6,777.560328101955520,19302.231864246252371
7,7,11,155.745433654484430,875.583398400763144
8,8,7,2710.557690312651630,223470.614593752601650
9,9,9,2438.910159608562935,136283.162657707725884
10,10,10,3020.013358109000364,306619.508513230364770
11,11,16,56.737459325100424,134.985557204415073
12,12,11,1416.253370974325207,44768.507788156050083
13,13,15,1694.776191756898925,111618.358385694897152
14,14,13,891.318021916645421,21989.439515995232796
15,15,14,711.519534468186748,28586.470081132662017
16,16,22,40.000000000000000,100.000000000000000
17,17,8,3008.033224000378141,415673.349608668300789
18,18,16,1551.262302386482588,98072.132435787672875
19,19,8,37.728544780236867,68.465715556100761
20,20,12,2966.022498087810163,422200.428769216756336
21,21,17,2131.051592292913938,213751.183355050627142
22,22,24,352.416915365554928,6039.263473558241458
23,23,22,1185.510333198350054,41232.693552733733668
24,24,21,2896.187851393186520,314248.210131839499809
25,25,19,1996.258459687166123,184420.327638212009333
26,26,20,1764.866757515807194,147307.671986452449346
27,27,25,944.511334172577563,51280.071391975972801
28,28,18,2457.372814658277093,189153.169382421794580
29,29,29,59.999999988824129,199.999999944120646
30,30,24,1782.880544236458036,101665.454445889845374
31,31,23,2384.870074047698381,274914.195571846503299
32,32,26,888.278376113236845,45098.552064960909775
33,33,29,40.000000000000000,100.000000000000000
34,34,29,79.999999990686774,299.999999841675162
35,35,27,2051.878969006379975,202247.003205950109987
36,36,28,4927.229005391389364,896810.290154449874535
37,37,29,2037.685248617656725,31093.403794233414374
38,38,31,3488.474450274877199,378318.536004210473038
39,39,31,40.000000000000000,100.000000000000000
40,40,32,1714.008049636451233,146320.382222482352518
41,41,30,1666.386666209197301,120547.332291464525042
42,42,35,40.000000000000000,100.000000000000000
43,43,35,1112.201770492006290,48158.073667062169989
44,44,34,2040.080042330474726,242411.317755026975647
45,45,33,2126.402011440691695,158256.429778434190666
46,46,36,4299.736166652386601,687962.435289726126939
47,47,38,2819.013952898307707,257584.595577568339650
48,48,39,2313.323238400734226,217501.033587069017813
49,49,37,3139.533166395621720,394188.404195659270044
50,50,43,59.999999988824129,199.999999888241291
51,51,42,2620.516807195907404,254693.685831489536213
52,52,43,2914.829282312531632,275480.404747263179161
53,53,41,1729.350134706915924,157114.542450480250409
54,54,40,1806.074602270382911,133537.394888830749551
55,55,40,40.000000000000000,100.000000000000000
56,56,46,40.000000000000000,100.000000000000000
57,57,44,1764.401804858410287,153738.786621486855438
58,58,45,2861.836749775594399,361662.556074164458551
59,59,46,1583.841694515503377,125089.356701803539181
60,60,47,1542.136804423272679,117998.685053560388042
