OBJECTID,Join_Count,TARGET_FID,arcid,grid_code,from_node,to_node,Id,gridcode,Shape_Length_1,Shape_Length
1,1,1,1,1,-1,3,2,1,2184.823690626288681,316.952594799568885
2,1,2,2,2,-2,3,1,2,2303.527388806086037,190.262975904404470
3,1,3,3,4,-4,6,4,4,2334.942669772015961,344.463933595670085
4,1,4,4,5,6,-5,3,5,1989.681620013967859,194.852813744747124
5,1,5,5,3,3,7,5,3,1917.034390472651694,663.120883987837715
6,1,6,6,6,6,7,6,6,777.560328101955520,236.212327847042729
7,1,7,7,7,7,11,8,7,2710.557690312651630,491.853175912629411
8,1,8,8,9,-9,11,9,9,2438.910159608562935,250.617725971824967
9,1,9,9,10,-10,13,10,10,3020.013358109000364,584.081685877061545
10,1,10,10,13,13,14,14,13,891.318021916645421,113.591736031416389
11,1,11,11,11,14,11,12,11,1416.253370974325207,336.671728680189233
12,1,12,12,17,16,17,18,16,1551.262302386482588,10.000000000931323
13,1,13,13,16,17,13,18,16,1551.262302386482588,368.635316849261756
14,1,14,14,17,16,18,21,17,2131.051592292913938,10.000000000000000
15,1,15,15,20,18,18,26,20,1764.866757515807194,20.000000000931323
16,1,16,16,17,-19,16,21,17,2131.051592292913938,307.067424671169647
17,1,17,17,15,-15,20,13,15,1694.776191756898925,114.721359546270506
18,1,18,18,14,14,21,15,14,711.519534468186748,211.421356237601003
19,1,19,19,19,22,22,25,19,1996.258459687166123,11.180339887498949
20,1,20,20,18,21,22,28,18,2457.372814658277093,493.816538260510356
21,1,21,21,20,18,-23,26,20,1764.866757515807194,275.930537953812802
22,1,22,22,8,-8,24,17,8,3008.033224000378141,729.681291581866731
23,1,23,23,19,20,24,25,19,1996.258459687166123,454.271815195732415
24,1,24,24,12,-12,25,20,12,2966.022498087810163,546.160529107785010
25,1,25,25,21,24,25,24,21,2896.187851393186520,1089.847358781339381
26,1,26,26,23,-26,22,31,23,2384.870074047698381,450.625324482295412
27,1,27,27,22,25,28,23,22,1185.510333198350054,240.933574196125107
28,1,28,28,24,28,29,30,24,1782.880544236458036,277.707071897260619
29,1,29,29,25,29,-27,27,25,944.511334172577563,268.174977277532378
30,1,30,30,26,29,30,32,26,888.278376113236845,255.728075276248831
31,1,31,31,31,31,30,38,31,3488.474450274877199,11.180339889164950
32,1,32,32,27,-32,34,35,27,2051.878969006379975,203.309518949197610
33,1,33,33,28,33,28,36,28,4927.229005391389364,2109.582375629442595
34,1,34,34,29,34,35,37,29,2037.685248617656725,14.999999998137355
35,1,35,35,29,35,33,37,29,2037.685248617656725,77.678289356221796
36,1,36,36,30,35,-36,41,30,1666.386666209197301,200.992417989123538
37,1,37,37,31,37,31,38,31,3488.474450274877199,944.205824138938169
38,1,38,38,33,34,-39,45,33,2126.402011440691695,376.687469365645882
39,1,39,39,32,-38,40,40,32,1714.008049636451233,214.128338451623307
40,1,40,40,34,40,37,44,34,2040.080042330474726,709.828220182971222
41,1,41,41,35,40,41,43,35,1112.201770492006290,150.415945783727182
42,1,42,42,36,31,42,46,36,4299.736166652386601,1341.171894428097403
43,1,43,43,37,37,-43,49,37,3139.533166395621720,764.162954055278306
44,1,44,44,38,-44,41,47,38,2819.013952898307707,331.234214585511552
45,1,45,45,39,41,-45,48,39,2313.323238400734226,279.627330335783142
46,1,46,46,42,42,48,51,42,2620.516807195907404,602.729735651861461
47,1,47,47,41,-47,48,53,41,1729.350134706915924,328.894351290985753
48,1,48,48,43,42,49,52,43,2914.829282312531632,773.216805990269108
49,1,49,49,40,49,-46,54,40,1806.074602270382911,135.702761540582912
50,1,50,50,44,49,-50,57,44,1764.401804858410287,166.055512754639892
51,1,51,51,45,48,51,58,45,2861.836749775594399,679.969833770332002
52,1,52,52,47,51,52,60,47,1542.136804423272679,7.071067810548386
53,2,53,53,46,52,53,56,46,40.000000000000000,11.180339887498949
54,1,54,54,46,53,-54,59,46,1583.841694515503377,149.442719101559248
55,1,55,55,47,53,-55,60,47,1542.136804423272679,140.734673155732253
