ID,CId,Shape_Area
1,1,117621.6183
2,2,218008.2174
3,3,198287.6447
4,4,158029.114
5,5,144369.5101
6,6,19302.23186
7,7,875.5833984
8,8,223470.6146
9,9,136283.1627
10,10,306619.5085
11,11,134.9855572
12,12,44768.50779
13,13,111618.3584
14,14,21989.43952
15,15,28586.47008
16,16,100
17,17,415673.3496
18,18,98072.13244
19,19,68.46571556
20,20,422200.4288
21,21,213751.1834
22,22,6039.263474
23,23,41232.69355
24,24,314248.2101
25,25,184420.3276
26,26,147307.672
27,27,51280.07139
28,28,189153.1694
29,29,199.9999999
30,30,101665.4544
31,31,274914.1956
32,32,45098.55206
33,33,100
34,34,299.9999998
35,35,202247.0032
36,36,896810.2902
37,37,31093.40379
38,38,378318.536
39,39,100
40,40,146320.3822
41,41,120547.3323
42,42,100
43,43,48158.07367
44,44,242411.3178
45,45,158256.4298
46,46,687962.4353
47,47,257584.5956
48,48,217501.0336
49,49,394188.4042
50,50,199.9999999
51,51,254693.6858
52,52,275480.4047
53,53,157114.5425
54,54,133537.3949
55,55,100
56,56,100
57,57,153738.7866
58,58,361662.5561
59,59,125089.3567
60,60,117998.6851
