OID_,Value,Count,Red,Green,Blue,Land_Cover,Opacity
,11,1784495.000000000000000,0.278431372549000,0.419607843137000,0.627450980392000,Open Water,1.000000000000000
,21,3028822.000000000000000,0.866666666667000,0.788235294118000,0.788235294118000,"Developed, Open Space",1.000000000000000
,22,1464759.000000000000000,0.847058823529000,0.576470588235000,0.509803921569000,"Developed, Low Intensity",1.000000000000000
,23,676015.000000000000000,0.929411764706000,0.000000000000000,0.000000000000000,"Developed, Medium Intensity",1.000000000000000
,24,238639.000000000000000,0.666666666667000,0.000000000000000,0.000000000000000,"Developed, High Intensity",1.000000000000000
,31,128821.000000000000000,0.698039215686000,0.678431372549000,0.639215686275000,Barren Land,1.000000000000000
,41,7982742.000000000000000,0.407843137255000,0.666666666667000,0.388235294118000,Deciduous Forest,1.000000000000000
,42,860053.000000000000000,0.109803921569000,0.388235294118000,0.188235294118000,Evergreen Forest,1.000000000000000
,43,634898.000000000000000,0.709803921569000,0.788235294118000,0.556862745098000,Mixed Forest,1.000000000000000
,52,507895.000000000000000,0.800000000000000,0.729411764706000,0.486274509804000,Shrub/Scrub,1.000000000000000
,71,119713.000000000000000,0.886274509804000,0.886274509804000,0.756862745098000,Herbaceuous,1.000000000000000
,81,3406141.000000000000000,0.858823529412000,0.847058823529000,0.235294117647000,Hay/Pasture,1.000000000000000
,82,5557074.000000000000000,0.666666666667000,0.439215686275000,0.156862745098000,Cultivated Crops,1.000000000000000
,90,2716266.000000000000000,0.729411764706000,0.847058823529000,0.917647058824000,Woody Wetlands,1.000000000000000
,95,1012139.000000000000000,0.439215686275000,0.639215686275000,0.729411764706000,Emergent Herbaceuous Wetlands,1.000000000000000
