PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
1,22,,,0.1482763,0.0000625,,
2,22,B,69,0.0271091,0.0000114,0.0007886,
3,22,,,0.27306,0.0001151,,
4,22,,,0.1424717,0.0000601,,
5,22,,,0.6671845,0.0002813,,
6,22,B,69,0.0245294,0.0000103,0.0007136,
7,22,,,0.1142889,0.0000482,,
8,22,D,84,0.0199813,0.0000084,0.0007076,
9,22,,,2.5808301,0.0010881,,
10,22,B,69,0.0077633,0.0000033,0.0002258,
11,22,,,0.9178653,0.000387,,
12,22,B,69,0.0330123,0.0000139,0.0009604,
13,22,,,0.1191747,0.0000502,,
14,22,,,0.0878787,0.0000371,,
15,22,B,69,0.054593,0.000023,0.0015882,
16,21,B,69,0.0012149,0.0000005,0.0000353,
17,22,B,69,0.0482412,0.0000203,0.0014034,
18,22,B,69,0.9097126,0.0003835,0.0264647,
19,41,D,79,0.4667716,0.0001968,0.015547,
20,41,B,60,0.1392232,0.0000587,0.0035219,
21,41,B,60,0.0041673,0.0000018,0.0001054,
22,41,B,60,1.4907496,0.0006285,0.0377112,
23,22,B,69,0.0614933,0.0000259,0.0017889,
24,22,,,0.3832964,0.0001616,,
25,22,B,69,0.0729516,0.0000308,0.0021223,
26,22,,,0.2223948,0.0000938,,
27,21,,,0.1424717,0.0000601,,
28,22,C,79,0.0140375,0.0000059,0.0004676,
29,22,B,69,0.0285991,0.0000121,0.000832,
30,22,B,69,0.762781,0.0003216,0.0221903,
31,22,B,69,0.34859,0.000147,0.0101409,
32,41,D,79,1.0833457,0.0004568,0.0360835,
33,41,B,60,0.4654485,0.0001962,0.0117744,
34,41,B,60,0.0123383,0.0000052,0.0003121,
35,41,B,60,0.0491604,0.0000207,0.0012436,
36,22,B,69,0.0820388,0.0000346,0.0023866,
37,41,B,60,0.7663587,0.0003231,0.0193864,
38,41,C,73,1.7792743,0.0007502,0.0547621,
39,41,B,60,1.0304341,0.0004344,0.0260667,
40,41,B,60,0.210915,0.0000889,0.0053355,
41,41,B,60,0.9004576,0.0003796,0.0227787,
42,41,D,79,0.189964,0.0000801,0.0063272,
43,41,B,60,0.2548257,0.0001074,0.0064463,
44,22,B,69,0.9703802,0.0004091,0.0282297,
45,21,D,84,0.0388989,0.0000164,0.0013776,
46,21,B,69,0.183496,0.0000774,0.0053381,
47,22,B,69,0.6034104,0.0002544,0.017554,
48,41,D,79,0.5349762,0.0002256,0.0178187,
49,41,B,60,0.0557601,0.0000235,0.0014106,
50,23,B,69,0.2223948,0.0000938,0.0064698,
51,23,B,69,0.0392758,0.0000166,0.0011426,
52,22,B,69,0.2092331,0.0000882,0.0060869,
53,52,D,79,0.2221999,0.0000937,0.0074009,
54,52,B,60,0.0001949,0.0000001,0.0000049,
55,22,C,79,0.0000014,0,0,
56,22,B,69,0.172334,0.0000727,0.0050134,
57,22,,,0.0500594,0.0000211,,
58,23,B,69,0.1424717,0.0000601,0.0041447,
59,22,B,69,0.9119404,0.0003845,0.0265296,
60,21,B,69,0.1424174,0.00006,0.0041431,
61,43,D,79,0.0932205,0.0000393,0.0031049,
62,43,B,60,0.1291744,0.0000545,0.0032677,
63,23,B,69,3.189976,0.0013449,0.0928006,
64,22,B,69,0.2584471,0.000109,0.0075186,
65,22,B,69,0.2262706,0.0000954,0.0065825,
66,22,,,5.0579224,0.0021325,,
67,23,B,69,0.0812986,0.0000343,0.0023651,
68,23,B,69,0.0159866,0.0000067,0.0004651,
69,23,,,0.7922941,0.000334,,
70,22,B,69,0.0093215,0.0000039,0.0002712,
71,22,,,0.2130734,0.0000898,,
72,22,B,69,0.0431008,0.0000182,0.0012539,
73,22,C,79,0.1792941,0.0000756,0.0059718,
74,22,B,69,0.5231105,0.0002206,0.015218,
75,52,D,79,0.5804231,0.0002447,0.0193324,
76,52,B,60,0.021025,0.0000089,0.0005319,
77,52,B,60,0.6573415,0.0002771,0.0166286,
78,43,D,79,0.2190149,0.0000923,0.0072948,
79,43,B,60,0.4481696,0.000189,0.0113373,
80,22,D,84,0.0247204,0.0000104,0.0008755,
81,22,B,69,0.0731264,0.0000308,0.0021273,
82,22,,,0.1245481,0.0000525,,
83,41,B,60,0.603812,0.0002546,0.0152745,
84,41,C,73,0.1890681,0.0000797,0.0058191,
85,41,,,0.0966993,0.0000408,,
86,22,B,69,1.9993446,0.000843,0.0581636,
87,22,B,69,0.0008083,0.0000003,0.0000235,
88,22,B,69,0.0275706,0.0000116,0.0008021,
89,22,C,79,0.080852,0.0000341,0.002693,
90,22,B,69,2.4746671,0.0010434,0.0719913,
91,21,B,69,0.0043704,0.0000018,0.0001271,
92,43,D,79,0.1521871,0.0000642,0.005069,
93,22,B,69,0.4222215,0.000178,0.012283,
94,22,C,79,0.0225682,0.0000095,0.0007517,
95,22,B,69,0.3036887,0.000128,0.0088347,
96,41,B,60,0.1521522,0.0000641,0.003849,
97,41,C,73,0.0510496,0.0000215,0.0015712,
98,41,,,0.0191931,0.0000081,,
99,24,B,,0.2584743,0.000109,,
100,23,B,69,0.8807213,0.0003713,0.0256213,
101,23,B,69,1.7370515,0.0007324,0.0505331,
102,23,C,79,0.0646757,0.0000273,0.0021542,
103,23,B,69,0.7918367,0.0003338,0.0230356,
104,21,B,69,0.0185956,0.0000078,0.000541,
105,21,B,69,0.1012792,0.0000427,0.0029463,
106,23,B,69,0.0086707,0.0000037,0.0002522,
107,23,B,69,0.0007267,0.0000003,0.0000211,
108,23,C,79,0.3248642,0.000137,0.0108204,
109,23,B,69,0.1277073,0.0000538,0.0037152,
110,23,B,69,0.165863,0.0000699,0.0048252,
111,23,B,69,0.04875,0.0000206,0.0014182,
112,22,B,69,0.0290046,0.0000122,0.0008438,
113,22,B,69,0.1231825,0.0000519,0.0035835,
114,21,B,69,0.0303309,0.0000128,0.0008824,
115,21,B,69,0.0030889,0.0000013,0.0000899,
116,22,B,69,0.4447897,0.0001875,0.0129395,
117,23,B,69,0.4447897,0.0001875,0.0129395,
118,22,C,79,0.2313288,0.0000975,0.007705,
119,22,B,69,0.3699297,0.000156,0.0107617,
120,22,B,69,0.0006691,0.0000003,0.0000195,
121,22,B,69,0.3737646,0.0001576,0.0108733,
122,22,C,79,0.0844804,0.0000356,0.0028138,
123,22,B,69,0.1379144,0.0000581,0.0040121,
124,23,B,69,0.2223948,0.0000938,0.0064698,
125,22,B,69,0.2223948,0.0000938,0.0064698,
126,23,C,79,0.6121882,0.0002581,0.0203904,
127,23,B,69,1.6451819,0.0006936,0.0478605,
128,23,B,69,0.0009796,0.0000004,0.0000285,
129,23,B,69,7.3577566,0.0031021,0.2140469,
130,23,C,79,0.0540196,0.0000228,0.0017993,
131,23,B,69,0.1683752,0.000071,0.0048983,
132,24,C,,1.2843975,0.0005415,,
133,24,B,,1.3827457,0.000583,,
134,24,B,,0.4608143,0.0001943,,
135,24,B,,1.2283665,0.0005179,,
136,24,B,,0.0415123,0.0000175,,
137,23,B,69,0.2223948,0.0000938,0.0064698,
138,23,B,69,0.2223948,0.0000938,0.0064698,
139,23,B,69,0.2726828,0.000115,0.0079327,
140,23,B,69,0.2990642,0.0001261,0.0087002,
141,22,B,69,0.2223948,0.0000938,0.0064698,
142,23,B,69,0.4447897,0.0001875,0.0129395,
143,23,B,69,0.4447897,0.0001875,0.0129395,
144,22,B,69,0.3663543,0.0001545,0.0106577,
145,22,B,69,0.4731295,0.0001995,0.013764,
146,22,B,69,5.0036845,0.0021096,0.1455638,
147,22,B,69,0.0079337,0.0000033,0.0002308,
148,22,B,69,0.0501892,0.0000212,0.0014601,
149,22,B,69,1.1453799,0.0004829,0.0333206,
150,21,B,69,2.150548,0.0009067,0.0625623,
151,21,B,69,1.1853746,0.0004998,0.0344841,
152,22,B,69,0.2199895,0.0000928,0.0063998,
153,22,D,84,0.0024054,0.000001,0.0000852,
154,23,B,69,0.0018821,0.0000008,0.0000548,
155,22,B,69,2.2415698,0.0009451,0.0652102,
156,23,B,69,1.3911022,0.0005865,0.040469,
