OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
1,1,505304,22,177,MD027,6,UaF,628165,,109.623772683407765,600.053001631844609,,"Developed, Low Intensity",0.1482763,0.0000625,
2,2,505858,22,145,MD027,6,GgB,792989,B,56.510122721483164,109.706834497044326,69,"Developed, Low Intensity",0.0271091,0.0000114,0.0007886
3,2,505858,22,177,MD027,6,UaF,628165,,162.023418363139257,1105.034514629437581,,"Developed, Low Intensity",0.2730600,0.0001151,
4,3,506029,22,177,MD027,6,UaF,628165,,112.521304067621202,576.562499970314093,,"Developed, Low Intensity",0.1424717,0.0000601,
5,4,506561,22,177,MD027,6,UaF,628165,,240.000000000000000,2699.999999888241291,,"Developed, Low Intensity",0.6671845,0.0002813,
6,5,506771,22,125,MD027,6,MaC,793433,B,41.717901913445523,99.267072552454465,69,"Developed, Low Intensity",0.0245294,0.0000103,0.0007136
7,5,506771,22,177,MD027,6,UaF,628165,,89.200552444512567,462.510708736535491,,"Developed, Low Intensity",0.1142889,0.0000482,
8,6,507321,22,5,MD027,6,BaA,792298,D,54.460030246422832,80.861583685281673,84,"Developed, Low Intensity",0.0199813,0.0000084,0.0007076
9,6,507321,22,177,MD027,6,UaF,628165,,588.055106231194713,10444.248871040786980,,"Developed, Low Intensity",2.5808301,0.0010881,
10,6,507321,22,184,MD027,6,GhB,792997,B,30.466361310702617,31.416792545956714,69,"Developed, Low Intensity",0.0077633,0.0000033,0.0002258
11,7,507503,22,177,MD027,6,UaF,628165,,290.315846405205491,3714.468955844206448,,"Developed, Low Intensity",0.9178653,0.0003870,
12,8,507694,22,124,MD027,6,MaC,793433,B,53.592789802969492,133.596124062671805,69,"Developed, Low Intensity",0.0330123,0.0000139,0.0009604
