OBJECTID,arcid,grid_code,from_node,to_node,Shape_Length
1,1,1,-1,3,316.952594799568885
2,2,1,-2,3,190.262975904404470
3,3,1,-4,6,344.463933595670085
4,4,1,6,-5,194.852813744747124
5,5,2,3,7,663.120883987837715
6,6,2,6,7,236.212327847042729
7,7,3,7,11,491.853175912629411
8,8,1,-9,11,250.617725971824967
9,9,1,-10,13,584.081685877061545
10,10,2,13,14,113.591736031416389
11,11,3,14,11,336.671728680189233
12,12,1,16,17,10.000000000931323
13,13,2,17,13,368.635316849261756
14,14,1,16,18,10.000000000000000
15,15,1,18,18,20.000000000931323
16,16,1,-19,16,307.067424671169647
17,17,1,-15,20,114.721359546270506
18,18,3,14,21,211.421356237601003
19,19,3,21,21,509.341592575780965
20,20,1,18,-22,275.930537953812802
21,21,1,-8,23,729.681291581866731
22,22,3,20,23,454.271815195732415
23,23,1,-12,24,546.160529107785010
24,24,3,23,24,1089.847358781339381
25,25,1,-25,21,450.625324482295412
26,26,3,24,27,240.933574196125107
27,27,3,27,28,277.707071897260619
28,28,4,28,-26,268.174977277532378
29,29,3,28,29,255.728075276248831
30,30,2,30,29,11.180339889164950
31,31,1,-31,33,203.309518949197610
32,32,2,32,27,2109.582375629442595
33,33,2,33,34,14.999999998137355
34,34,2,34,32,77.678289356221796
35,35,1,34,-35,200.992417989123538
36,36,2,36,30,944.205824138938169
37,37,1,33,-38,376.687469365645882
38,38,1,-37,39,214.128338451623307
39,39,2,39,36,709.828220182971222
40,40,2,39,40,150.415945783727182
41,41,3,30,41,1341.171894428097403
42,42,1,36,-42,764.162954055278306
43,43,1,-43,40,331.234214585511552
44,44,1,40,-44,279.627330335783142
45,45,2,41,47,602.729735651861461
46,46,1,-46,47,328.894351290985753
47,47,2,41,48,773.216805990269108
48,48,1,48,-45,135.702761540582912
49,49,1,48,-49,166.055512754639892
50,50,2,47,50,679.969833770332002
51,51,1,50,51,18.027756375770132
52,52,1,51,-52,149.442719101559248
53,53,1,51,-53,140.734673155732253
