PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
1,22,,,0.1482763,0.0000625,,1
2,22,B,69,0.0271091,0.0000114,0.0007886,1
3,22,,,0.27306,0.0001151,,1
4,22,,,0.1424717,0.0000601,,1
5,22,,,0.6671845,0.0002813,,1
6,22,B,69,0.0245294,0.0000103,0.0007136,1
7,22,,,0.1142889,0.0000482,,1
8,22,D,84,0.0199813,0.0000084,0.0007076,1
9,22,,,2.5808301,0.0010881,,1
10,22,B,69,0.0077633,0.0000033,0.0002258,1
11,22,,,0.9178653,0.000387,,1
12,22,B,69,0.0330123,0.0000139,0.0009604,1
13,22,,,0.1191747,0.0000502,,1
14,22,,,0.0878787,0.0000371,,1
15,22,B,69,0.054593,0.000023,0.0015882,1
16,21,B,69,0.0012149,0.0000005,0.0000353,4
17,22,B,69,0.0482412,0.0000203,0.0014034,2
18,22,B,69,0.9097126,0.0003835,0.0264647,2
19,41,D,79,0.4667716,0.0001968,0.015547,2
20,41,B,60,0.1392232,0.0000587,0.0035219,2
21,41,B,60,0.0041673,0.0000018,0.0001054,2
22,41,B,60,1.4907496,0.0006285,0.0377112,2
23,22,B,69,0.0614933,0.0000259,0.0017889,1
24,22,,,0.3832964,0.0001616,,1
25,22,B,69,0.0729516,0.0000308,0.0021223,2
26,22,,,0.2223948,0.0000938,,1
27,21,,,0.1424717,0.0000601,,1
28,22,C,79,0.0140375,0.0000059,0.0004676,4
29,22,B,69,0.0285991,0.0000121,0.000832,4
30,22,B,69,0.762781,0.0003216,0.0221903,4
31,22,B,69,0.34859,0.000147,0.0101409,4
32,41,D,79,1.0833457,0.0004568,0.0360835,2
33,41,B,60,0.4654485,0.0001962,0.0117744,2
34,41,B,60,0.0123383,0.0000052,0.0003121,2
35,41,B,60,0.0491604,0.0000207,0.0012436,2
36,22,B,69,0.0820388,0.0000346,0.0023866,2
37,41,B,60,0.7663587,0.0003231,0.0193864,1
38,41,C,73,1.7792743,0.0007502,0.0547621,4
39,41,B,60,1.0304341,0.0004344,0.0260667,4
40,41,B,60,0.210915,0.0000889,0.0053355,4
41,41,B,60,0.9004576,0.0003796,0.0227787,4
42,41,D,79,0.189964,0.0000801,0.0063272,2
43,41,B,60,0.2548257,0.0001074,0.0064463,2
44,22,B,69,0.9703802,0.0004091,0.0282297,2
45,21,D,84,0.0388989,0.0000164,0.0013776,2
46,21,B,69,0.183496,0.0000774,0.0053381,2
47,22,B,69,0.6034104,0.0002544,0.017554,3
48,41,D,79,0.5349762,0.0002256,0.0178187,2
49,41,B,60,0.0557601,0.0000235,0.0014106,2
50,23,B,69,0.2223948,0.0000938,0.0064698,3
51,23,B,69,0.0392758,0.0000166,0.0011426,3
52,22,B,69,0.2092331,0.0000882,0.0060869,2
53,52,D,79,0.2221999,0.0000937,0.0074009,2
54,52,B,60,0.0001949,0.0000001,0.0000049,2
55,22,C,79,0.0000014,0,0,4
56,22,B,69,0.172334,0.0000727,0.0050134,4
57,22,,,0.0500594,0.0000211,,4
58,23,B,69,0.1424717,0.0000601,0.0041447,3
59,22,B,69,0.9119404,0.0003845,0.0265296,3
60,21,B,69,0.1424174,0.00006,0.0041431,2
61,43,D,79,0.0932205,0.0000393,0.0031049,2
62,43,B,60,0.1291744,0.0000545,0.0032677,2
63,23,B,69,3.189976,0.0013449,0.0928006,2
64,22,B,69,0.2584471,0.000109,0.0075186,2
65,22,B,69,0.2262706,0.0000954,0.0065825,1
66,22,,,5.0579224,0.0021325,,1
67,23,B,69,0.0812986,0.0000343,0.0023651,4
68,23,B,69,0.0159866,0.0000067,0.0004651,5
69,23,,,0.7922941,0.000334,,4
70,22,B,69,0.0093215,0.0000039,0.0002712,4
71,22,,,0.2130734,0.0000898,,4
72,22,B,69,0.0431008,0.0000182,0.0012539,4
73,22,C,79,0.1792941,0.0000756,0.0059718,4
74,22,B,69,0.5231105,0.0002206,0.015218,3
75,52,D,79,0.5804231,0.0002447,0.0193324,2
76,52,B,60,0.021025,0.0000089,0.0005319,2
77,52,B,60,0.6573415,0.0002771,0.0166286,2
78,43,D,79,0.2190149,0.0000923,0.0072948,2
79,43,B,60,0.4481696,0.000189,0.0113373,2
80,22,D,84,0.0247204,0.0000104,0.0008755,5
81,22,B,69,0.0731264,0.0000308,0.0021273,5
82,22,,,0.1245481,0.0000525,,5
83,41,B,60,0.603812,0.0002546,0.0152745,4
84,41,C,73,0.1890681,0.0000797,0.0058191,4
85,41,,,0.0966993,0.0000408,,4
86,22,B,69,1.9993446,0.000843,0.0581636,4
87,22,B,69,0.0008083,0.0000003,0.0000235,4
88,22,B,69,0.0275706,0.0000116,0.0008021,4
89,22,C,79,0.080852,0.0000341,0.002693,4
90,22,B,69,2.4746671,0.0010434,0.0719913,3
91,43,D,79,0.1521871,0.0000642,0.005069,2
92,22,B,69,0.4222215,0.000178,0.012283,4
93,22,C,79,0.0225682,0.0000095,0.0007517,4
94,22,B,69,0.3036887,0.000128,0.0088347,3
95,41,B,60,0.1521522,0.0000641,0.003849,4
96,41,C,73,0.0510496,0.0000215,0.0015712,4
97,41,,,0.0191931,0.0000081,,4
98,24,B,,0.2584743,0.000109,,4
99,23,B,69,0.8807213,0.0003713,0.0256213,4
100,23,B,69,1.7370515,0.0007324,0.0505331,4
101,23,C,79,0.0646757,0.0000273,0.0021542,4
102,23,B,69,0.7918367,0.0003338,0.0230356,3
103,21,B,69,0.1012792,0.0000427,0.0029463,3
104,23,B,69,0.0007267,0.0000003,0.0000211,3
105,23,C,79,0.3248642,0.000137,0.0108204,3
106,23,B,69,0.1277073,0.0000538,0.0037152,3
107,23,B,69,0.165863,0.0000699,0.0048252,3
108,23,B,69,0.04875,0.0000206,0.0014182,3
109,22,B,69,0.0290046,0.0000122,0.0008438,3
110,22,B,69,0.1231825,0.0000519,0.0035835,3
111,21,B,69,0.0303309,0.0000128,0.0008824,3
112,21,B,69,0.0030889,0.0000013,0.0000899,3
113,22,B,69,0.4447897,0.0001875,0.0129395,4
114,23,B,69,0.4447897,0.0001875,0.0129395,4
115,22,C,79,0.2313288,0.0000975,0.007705,3
116,22,B,69,0.3699297,0.000156,0.0107617,3
117,22,B,69,0.0006691,0.0000003,0.0000195,3
118,22,B,69,0.3737646,0.0001576,0.0108733,3
119,22,C,79,0.0844804,0.0000356,0.0028138,4
120,22,B,69,0.1379144,0.0000581,0.0040121,4
121,23,B,69,0.2223948,0.0000938,0.0064698,3
122,22,B,69,0.2223948,0.0000938,0.0064698,3
123,23,C,79,0.6121882,0.0002581,0.0203904,3
124,23,B,69,1.6451819,0.0006936,0.0478605,3
125,23,B,69,0.0009796,0.0000004,0.0000285,3
126,23,B,69,7.3577566,0.0031021,0.2140469,3
127,23,C,79,0.0540196,0.0000228,0.0017993,4
128,23,B,69,0.1683752,0.000071,0.0048983,4
129,24,C,,1.2843975,0.0005415,,3
130,24,B,,1.3827457,0.000583,,3
131,24,B,,0.4608143,0.0001943,,3
132,24,B,,1.2283665,0.0005179,,3
133,24,B,,0.0415123,0.0000175,,3
134,23,B,69,0.2223948,0.0000938,0.0064698,3
135,23,B,69,0.2223948,0.0000938,0.0064698,3
136,23,B,69,0.2726828,0.000115,0.0079327,3
137,23,B,69,0.2990642,0.0001261,0.0087002,3
138,22,B,69,0.2223948,0.0000938,0.0064698,4
139,23,B,69,0.4447897,0.0001875,0.0129395,3
140,23,B,69,0.4447897,0.0001875,0.0129395,3
141,22,B,69,0.3663543,0.0001545,0.0106577,3
142,22,B,69,0.4731295,0.0001995,0.013764,3
143,22,B,69,5.0036845,0.0021096,0.1455638,3
144,22,B,69,0.0079337,0.0000033,0.0002308,3
145,22,B,69,0.0501892,0.0000212,0.0014601,3
146,22,B,69,1.1453799,0.0004829,0.0333206,5
147,21,B,69,2.150548,0.0009067,0.0625623,3
148,21,B,69,1.1853746,0.0004998,0.0344841,3
149,22,B,69,0.2199895,0.0000928,0.0063998,3
150,22,D,84,0.0024054,0.000001,0.0000852,3
151,22,B,69,2.2415698,0.0009451,0.0652102,2
152,23,B,69,1.3911022,0.0005865,0.040469,5
153,22,D,84,0.052579,0.0000222,0.0018621,5
154,22,,,0.0075994,0.0000032,,5
155,22,B,69,0.2501754,0.0001055,0.0072779,5
156,23,D,84,0.1903842,0.0000803,0.0067426,5
157,23,C,79,0.062809,0.0000265,0.002092,4
158,23,,,3.1074755,0.0013102,,5
159,23,B,69,0.0838451,0.0000354,0.0024392,5
160,22,C,79,0.0578248,0.0000244,0.001926,4
161,22,,,0.6093597,0.0002569,,4
162,22,D,84,0.1521871,0.0000642,0.0053898,3
163,22,,,0.0727684,0.0000307,,5
164,22,B,69,0.0233168,0.0000098,0.0006783,5
165,22,C,79,0.1263096,0.0000533,0.0042071,5
166,23,,,0.2223948,0.0000938,,4
167,41,B,60,0.1932501,0.0000815,0.0048886,5
168,41,B,60,0.7164729,0.0003021,0.0181245,5
169,21,B,69,0.1851228,0.0000781,0.0053855,5
170,21,C,79,0.037272,0.0000157,0.0012414,5
171,23,B,69,0.5703248,0.0002405,0.0165915,3
172,23,B,69,0.9721698,0.0004099,0.0282817,3
173,23,D,84,0.4175857,0.0001761,0.014789,3
174,24,B,,0.4518676,0.0001905,,3
175,24,D,,0.6218825,0.0002622,,3
176,24,B,,1.0339204,0.0004359,,3
177,24,B,,0.8335413,0.0003514,,3
178,24,D,,0.7641128,0.0003222,,9
179,21,B,69,0.1399982,0.000059,0.0040727,5
180,21,B,69,0.2994453,0.0001263,0.0087113,5
181,21,C,79,0.0053463,0.0000023,0.0001781,5
182,22,,,0.1424717,0.0000601,,4
183,24,,,0.1804668,0.0000761,,9
184,24,D,,0.041928,0.0000177,,9
185,23,D,84,0.3598236,0.0001517,0.0127433,9
186,23,D,84,0.1013328,0.0000427,0.0035888,9
187,23,D,84,0.0828044,0.0000349,0.0029326,9
188,22,D,84,0.0009654,0.0000004,0.0000342,9
189,22,B,69,1.7804127,0.0007506,0.0517946,3
190,22,B,69,0.1027065,0.0000433,0.0029879,3
191,22,,,0.9295663,0.0003919,,6
192,23,B,69,0.2859907,0.0001206,0.0083199,3
193,23,B,69,0.8138905,0.0003431,0.0236772,3
194,23,,,0.281047,0.0001185,,8
195,23,D,84,2.555007,0.0010772,0.0904869,3
196,24,,,0.2223948,0.0000938,,8
197,22,B,69,1.8774829,0.0007916,0.0546185,5
198,22,B,69,0.094512,0.0000398,0.0027495,5
199,41,B,60,0.1932591,0.0000815,0.0048888,5
200,41,B,60,1.0484903,0.0004421,0.0265235,5
201,41,C,73,1.0243324,0.0004319,0.0315267,5
202,22,,,0.7830158,0.0003301,,4
203,22,B,69,0.5050786,0.0002129,0.0146934,5
204,23,,,0.6671845,0.0002813,,4
205,22,,,0.5973148,0.0002518,,4
206,22,B,69,0.0698698,0.0000295,0.0020326,5
207,21,B,69,0.7707342,0.000325,0.0224217,5
208,21,B,69,0.913744,0.0003852,0.026582,5
209,21,C,79,0.2244955,0.0000947,0.0074774,5
210,22,B,69,0.0874074,0.0000369,0.0025428,3
211,22,,,4.3858528,0.0018491,,8
212,22,D,84,1.456111,0.0006139,0.0515689,3
213,22,,,0.151782,0.000064,,8
214,22,D,84,0.0706129,0.0000298,0.0025008,8
215,23,,,0.2153139,0.0000908,,8
216,23,D,84,0.2294758,0.0000968,0.008127,8
217,21,C,79,1.1063533,0.0004665,0.0368498,4
218,21,B,69,1.3981884,0.0005895,0.0406752,3
219,21,B,69,1.3867087,0.0005847,0.0403412,4
220,21,,,9.4428129,0.0039812,,6
221,22,,,0.2223948,0.0000938,,8
222,23,,,0.0002671,0.0000001,,8
223,23,D,84,0.2221278,0.0000937,0.0078668,8
224,24,D,,1.4537203,0.0006129,,9
