OBJECTID,Join_Count,TARGET_FID,JOIN_FID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,CN,Land_Cover,Acres,Percent_Area,compositeCN,Id_1,gridcode_1,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
1,1,1,1,1,505304,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.1482763,0.0000625,,1,2,2303.527388806086037,117621.618306059812312,109.623772683407765,600.053001631844609
2,1,2,1,2,505858,22,145,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.0271091,0.0000114,0.0007886,1,2,2303.527388806086037,117621.618306059812312,56.510122721483164,109.706834497044326
3,1,3,1,2,505858,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.2730600,0.0001151,,1,2,2303.527388806086037,117621.618306059812312,162.023418363139257,1105.034514629437581
4,1,4,1,3,506029,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.1424717,0.0000601,,1,2,2303.527388806086037,117621.618306059812312,112.521304067621202,576.562499970314093
5,1,5,1,4,506561,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.6671845,0.0002813,,1,2,2303.527388806086037,117621.618306059812312,240.000000000000000,2699.999999888241291
6,1,6,1,5,506771,22,125,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0245294,0.0000103,0.0007136,1,2,2303.527388806086037,117621.618306059812312,41.717901913445523,99.267072552454465
7,1,7,1,5,506771,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.1142889,0.0000482,,1,2,2303.527388806086037,117621.618306059812312,89.200552444512567,462.510708736535491
8,1,8,1,6,507321,22,5,MD027,6,BaA,792298,D,84,"Developed, Low Intensity",0.0199813,0.0000084,0.0007076,1,2,2303.527388806086037,117621.618306059812312,54.460030246422832,80.861583685281673
9,1,9,1,6,507321,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",2.5808301,0.0010881,,1,2,2303.527388806086037,117621.618306059812312,588.055106231194713,10444.248871040786980
10,1,10,1,6,507321,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.0077633,0.0000033,0.0002258,1,2,2303.527388806086037,117621.618306059812312,30.466361310702617,31.416792545956714
11,1,11,1,7,507503,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.9178653,0.0003870,,1,2,2303.527388806086037,117621.618306059812312,290.315846405205491,3714.468955844206448
12,1,12,1,8,507694,22,124,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0330123,0.0000139,0.0009604,1,2,2303.527388806086037,117621.618306059812312,53.592789802969492,133.596124062671805
13,1,13,1,8,507694,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.1191747,0.0000502,,1,2,2303.527388806086037,117621.618306059812312,96.134548904265472,482.283053935239536
14,1,14,1,9,507695,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.0878787,0.0000371,,1,2,2303.527388806086037,117621.618306059812312,80.272257217108063,355.632582429939191
15,1,15,1,9,507695,22,210,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.0545930,0.0000230,0.0015882,1,2,2303.527388806086037,117621.618306059812312,70.220111176128370,220.929917613333203
16,1,16,4,10,507873,21,210,MD027,6,GgB,792989,B,69,"Developed, Open Space",0.0012149,0.0000005,0.0000353,4,4,2334.942669772015961,158029.114002325659385,11.655836989028032,4.916659111060064
17,1,17,2,11,508032,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.0482412,0.0000203,0.0014034,2,1,2184.823690626288681,218008.217427300143754,68.760853075483055,195.225138572943024
18,1,18,2,12,508033,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.9097126,0.0003835,0.0264647,2,1,2184.823690626288681,218008.217427300143754,293.419373887237839,3681.476029784374987
19,1,19,2,13,508034,41,5,MD027,6,BaA,792298,D,79,Deciduous Forest,0.4667716,0.0001968,0.0155470,2,1,2184.823690626288681,218008.217427300143754,188.647203878577017,1888.957834281865644
20,1,20,2,13,508034,41,69,MD027,6,MaD,793434,B,60,Deciduous Forest,0.1392232,0.0000587,0.0035219,2,1,2184.823690626288681,218008.217427300143754,120.018806713003841,563.416285930517347
21,1,21,2,13,508034,41,124,MD027,6,MaC,793433,B,60,Deciduous Forest,0.0041673,0.0000018,0.0001054,2,1,2184.823690626288681,218008.217427300143754,21.313691407437322,16.864459078313647
22,1,22,2,13,508034,41,184,MD027,6,GhB,792997,B,60,Deciduous Forest,1.4907496,0.0006285,0.0377112,2,1,2184.823690626288681,218008.217427300143754,342.150985759177956,6032.849811498530471
23,1,23,1,14,508035,22,124,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0614933,0.0000259,0.0017889,1,2,2303.527388806086037,117621.618306059812312,81.476462963186137,248.854559617719332
24,1,24,1,14,508035,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.3832964,0.0001616,,1,2,2303.527388806086037,117621.618306059812312,168.194060887359029,1551.145440438159994
25,1,25,2,15,508230,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.0729516,0.0000308,0.0021223,2,1,2184.823690626288681,218008.217427300143754,68.760798020290707,295.224752373475781
26,1,26,1,16,508231,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.2223948,0.0000938,,1,2,2303.527388806086037,117621.618306059812312,119.999999996274710,899.999999944120646
27,1,27,1,17,508232,21,177,MD027,6,UaF,628165,,,"Developed, Open Space",0.1424717,0.0000601,,1,2,2303.527388806086037,117621.618306059812312,112.521304072700815,576.562500041909516
28,1,28,4,18,508628,22,48,MD027,6,GnB,793003,C,79,"Developed, Low Intensity",0.0140375,0.0000059,0.0004676,4,4,2334.942669772015961,158029.114002325659385,54.065470104760585,56.807890838524415
29,1,29,4,18,508628,22,123,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0285991,0.0000121,0.0008320,4,4,2334.942669772015961,158029.114002325659385,52.769413424159751,115.736467148949600
30,1,30,4,18,508628,22,183,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.7627810,0.0003216,0.0221903,4,4,2334.942669772015961,158029.114002325659385,287.139876075344660,3086.865069784506431
31,1,31,4,18,508628,22,210,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.3485900,0.0001470,0.0101409,4,4,2334.942669772015961,158029.114002325659385,217.409178017634275,1410.693575854254959
32,1,32,2,19,509183,41,5,MD027,6,BaA,792298,D,79,Deciduous Forest,1.0833457,0.0004568,0.0360835,2,1,2184.823690626288681,218008.217427300143754,411.084230617960884,4384.144293015332551
33,1,33,2,19,509183,41,69,MD027,6,MaD,793434,B,60,Deciduous Forest,0.4654485,0.0001962,0.0117744,2,1,2184.823690626288681,218008.217427300143754,275.217936309396919,1883.603377657111423
34,1,34,2,19,509183,41,124,MD027,6,MaC,793433,B,60,Deciduous Forest,0.0123383,0.0000052,0.0003121,2,1,2184.823690626288681,218008.217427300143754,32.385578282680093,49.931311647001706
35,1,35,2,19,509183,41,184,MD027,6,GhB,792997,B,60,Deciduous Forest,0.0491604,0.0000207,0.0012436,2,1,2184.823690626288681,218008.217427300143754,88.874255705145345,198.944908256895729
36,1,36,2,20,509369,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.0820388,0.0000346,0.0023866,2,1,2184.823690626288681,218008.217427300143754,107.636948673584300,331.999306963562617
37,1,37,1,21,509370,41,6,MD027,6,GgC,792996,B,60,Deciduous Forest,0.7663587,0.0003231,0.0193864,1,2,2303.527388806086037,117621.618306059812312,267.796195998283054,3101.343865249821192
38,1,38,4,21,509370,41,48,MD027,6,GnB,793003,C,73,Deciduous Forest,1.7792743,0.0007502,0.0547621,4,4,2334.942669772015961,158029.114002325659385,509.765798228621691,7200.467590344975179
39,1,39,4,21,509370,41,123,MD027,6,MaC,793433,B,60,Deciduous Forest,1.0304341,0.0004344,0.0260667,4,4,2334.942669772015961,158029.114002325659385,328.800897981072353,4170.019091923332780
40,1,40,4,21,509370,41,183,MD027,6,GhB,792997,B,60,Deciduous Forest,0.2109150,0.0000889,0.0053355,4,4,2334.942669772015961,158029.114002325659385,164.302381131881390,853.542629500170960
